Tier,Wave,Min Tyranid Count,Average Tyranid Count,Max Tyranid Count,Expected Tyranid Count,Min Total Enemy Count,Average Total Enemy Count,Max Total Enemy Count,Expected Count of All Waves in Tier
iron_3,3,7,7.67,8,7.60,7,7.67,8,7.60
iron_3,4,4,6.00,8,6.40,4,6.00,8,6.40
iron_3,5,9,9.50,10,9.50,9,9.50,10,9.50
iron_3,6,8,9.50,12,9.33,8,9.50,12,9.33
iron_3,8,4,6.67,9,6.20,4,6.67,9,6.20,48.38,48.38
bronze_1,1,4,6.20,8,6.30,5,6.40,8,6.50
bronze_1,3,4,5.20,6,5.40,5,5.80,6,5.88
bronze_1,4,5,5.80,6,5.90,6,6.00,6,6.00
bronze_1,5,2,4.40,7,4.70,3,5.00,7,5.30
bronze_1,6,0,2.80,6,3.25,2,4.00,6,4.40
bronze_1,8,4,5.60,7,5.98,5,6.00,7,6.18,31.53,34.26
bronze_2,1,3,4.40,7,4.60,4,5.00,7,5.20
bronze_2,3,2,2.80,4,2.84,3,3.80,4,3.92
bronze_2,4,5,5.80,6,5.90,6,6.00,6,6.00
bronze_2,5,1,3.00,5,3.05,3,3.80,5,3.90
bronze_2,6,1,3.40,6,3.65,3,4.20,6,4.40
bronze_2,8,4,5.20,7,5.38,5,5.80,7,5.88,25.42,29.30
bronze_3,1,3,4.63,7,4.81,3,4.88,7,5.04
bronze_3,3,0,1.40,3,1.70,2,2.80,4,2.98
bronze_3,4,5,5.80,6,5.90,6,6.00,6,6.00
bronze_3,5,0,2.20,4,2.15,2,3.00,4,3.00
bronze_3,6,2,3.75,5,4.09,3,4.25,5,4.47
bronze_3,8,1,4.78,7,5.00,4,5.33,7,5.56,23.65,27.05
silver_1,1,2,3.67,5,3.80,3,4.17,5,4.25
silver_1,3,1,2.40,4,2.79,2,2.80,4,3.19
silver_1,4,2,4.67,7,4.85,4,5.50,7,5.65
silver_1,5,0,2.67,5,3.10,2,3.50,5,3.95
silver_1,6,1,3.83,5,4.20,3,4.50,5,4.76
silver_1,8,5,5.83,6,5.80,6,6.00,6,6.00,24.54,27.80
silver_2,1,2,3.83,5,3.95,4,4.50,5,4.55
silver_2,3,0,2.67,5,2.76,3,3.67,5,3.93
silver_2,4,3,5.33,7,4.95,5,5.83,7,5.72
silver_2,5,0,2.67,5,3.24,2,3.67,5,4.19
silver_2,6,1,3.83,6,4.42,3,4.67,6,5.20
silver_2,8,5,5.50,6,5.52,5,5.67,6,5.72,24.84,29.31
silver_3,1,3,4.88,6,5.10,4,5.38,6,5.50
silver_3,3,0,2.67,6,3.01,3,3.83,6,4.25
silver_3,4,4,5.14,6,5.10,4,5.71,7,5.75
silver_3,5,0,2.67,5,3.05,2,3.67,5,4.00
silver_3,6,1,3.50,5,3.90,3,4.33,5,4.68
silver_3,8,4,5.33,7,5.47,4,5.56,7,5.71,25.63,29.89
gold_1,1,5,5.83,7,5.50,5,6.17,7,5.70
gold_1,3,1,3.50,5,4.05,3,5.00,6,5.20
gold_1,4,2,3.57,6,3.95,3,4.43,6,4.45
gold_1,5,0,3.43,5,3.85,3,4.43,5,4.55
gold_1,6,3,5.14,7,5.42,3,5.86,8,6.28
gold_1,8,4,5.00,6,5.03,5,5.13,6,5.18,27.80,31.36
gold_2,1,5,5.17,6,5.15,5,5.33,6,5.25
gold_2,3,1,3.17,5,3.05,3,4.83,6,4.75
gold_2,4,2,3.57,6,4.10,3,4.00,6,4.39
gold_2,5,1,3.71,5,4.17,3,4.43,5,4.66
gold_2,6,3,5.14,7,5.59,3,5.86,8,6.30
gold_2,8,4,4.73,5,4.64,4,4.87,6,4.76,26.70,30.11
gold_3,1,5,5.17,6,5.14,5,5.50,7,5.34
gold_3,3,1,3.50,5,3.70,3,4.83,6,5.00
gold_3,4,2,3.29,5,3.90,3,3.86,5,4.20
gold_3,5,0,3.29,5,3.65,3,4.43,5,4.60
gold_3,6,3,4.86,7,5.20,3,5.57,7,5.80
gold_3,8,4,4.67,5,4.55,4,4.80,6,4.70,26.14,29.64
diamond_1,1,5,5.50,6,5.40,5,5.83,7,5.60
diamond_1,3,1,3.50,5,3.85,3,5.17,6,5.50
diamond_1,4,2,3.14,5,3.45,3,3.71,5,3.90
diamond_1,5,0,3.43,5,3.65,3,4.29,5,4.40
diamond_1,6,3,5.14,7,5.50,3,5.86,8,6.10
diamond_1,8,4,4.73,5,4.64,4,4.87,6,4.79,26.49,30.29
diamond_2,1,5,5.33,6,5.30,5,5.67,7,5.50
diamond_2,3,1,3.33,5,3.60,3,5.00,6,5.25
diamond_2,4,2,3.57,5,3.85,3,4.14,5,4.30
diamond_2,5,0,3.43,5,3.90,3,4.29,5,4.50
diamond_2,6,3,5.14,7,5.50,3,5.86,8,6.10
diamond_2,8,4,4.73,5,4.64,4,4.87,6,4.79,26.79,30.44
diamond_3,1,5,5.33,6,5.30,5,5.67,7,5.50
diamond_3,3,1,3.57,5,3.80,3,5.14,6,5.20
diamond_3,4,2,3.43,6,2.75,3,4.29,6,4.05
diamond_3,5,0,3.29,5,2.71,3,4.14,5,3.93
diamond_3,6,3,4.88,7,5.30,3,5.50,7,5.90
diamond_3,8,3,4.85,5,4.81,4,5.00,6,5.00,24.67,29.58
mythic_1,1,3,6.83,9,6.30,6,7.33,9,7.05
mythic_1,3,6,6.67,8,6.85,6,6.67,8,6.85
mythic_1,4,3,5.50,6,5.40,6,6.67,8,6.75
mythic_1,5,4,6.17,8,6.25,5,6.33,8,6.40
mythic_1,6,7,7.50,8,7.50,7,7.50,8,7.50
mythic_1,8,4,5.83,7,5.76,4,5.92,7,5.86,38.06,40.41
mythic_2,1,3,6.83,9,6.30,6,7.33,9,7.05
mythic_2,3,6,6.67,8,6.85,6,6.67,8,6.85
mythic_2,4,3,5.50,6,5.40,6,6.67,8,6.75
mythic_2,5,4,6.17,8,6.25,5,6.33,8,6.40
mythic_2,6,7,7.50,8,7.50,7,7.50,8,7.50
mythic_2,8,4,5.83,7,5.76,4,5.92,7,5.86,38.06,40.41
mythic_3,1,3,6.83,9,6.30,6,7.33,9,7.05
mythic_3,3,6,6.67,8,6.85,6,6.67,8,6.85
mythic_3,4,3,5.50,6,5.40,6,6.67,8,6.75
mythic_3,5,4,6.17,8,6.25,5,6.33,8,6.40
mythic_3,6,7,7.50,8,7.50,7,7.50,8,7.50
mythic_3,8,4,5.83,7,5.76,4,5.92,7,5.86,38.06,40.41
