unit,target_rank,quantity,upgrade_material,rarity
adeptCanoness,DIAMOND_3,3,upgDmgC013,Common
adeptCanoness,DIAMOND_3,6,upgHpC003,Common
adeptCanoness,DIAMOND_3,8,upgArmE013,Epic
adeptCanoness,DIAMOND_3,6,upgDmgE001,Epic
adeptCanoness,DIAMOND_3,6,upgDmgE003,Epic
adeptCanoness,DIAMOND_3,8,upgDmgE011,Epic
adeptCanoness,DIAMOND_3,8,upgHpE003,Epic
adeptCanoness,DIAMOND_3,16,upgArmL001,Legendary
adeptCanoness,DIAMOND_3,8,upgArmL204,Legendary
adeptCanoness,DIAMOND_3,16,upgDmgL001,Legendary
adeptCanoness,DIAMOND_3,8,upgDmgL204,Legendary
adeptCanoness,DIAMOND_3,27,upgHpL102,Legendary
adeptCanoness,DIAMOND_3,9,upgDmgR006,Rare
adeptCanoness,DIAMOND_3,5,upgDmgU011,Uncommon
adeptCanoness,DIAMOND_3,5,upgDmgU012,Uncommon
adeptCanoness,DIAMOND_3,5,upgHpU002,Uncommon
adeptCanoness,ADAMANTINE_1,12,upgArmC013,Common
adeptCanoness,ADAMANTINE_1,12,upgDmgC001,Common
adeptCanoness,ADAMANTINE_1,6,upgHpC003,Common
adeptCanoness,ADAMANTINE_1,6,upgHpC013,Common
adeptCanoness,ADAMANTINE_1,5,upgArmE010,Epic
adeptCanoness,ADAMANTINE_1,8,upgArmE013,Epic
adeptCanoness,ADAMANTINE_1,7,upgDmgE001,Epic
adeptCanoness,ADAMANTINE_1,6,upgDmgE003,Epic
adeptCanoness,ADAMANTINE_1,8,upgDmgE011,Epic
adeptCanoness,ADAMANTINE_1,8,upgHpE003,Epic
adeptCanoness,ADAMANTINE_1,16,upgArmL001,Legendary
adeptCanoness,ADAMANTINE_1,3,upgArmL203,Legendary
adeptCanoness,ADAMANTINE_1,8,upgArmL204,Legendary
adeptCanoness,ADAMANTINE_1,19,upgDmgL001,Legendary
adeptCanoness,ADAMANTINE_1,8,upgDmgL204,Legendary
adeptCanoness,ADAMANTINE_1,9,upgHpL102,Legendary
adeptCanoness,ADAMANTINE_1,6,upgHpM001,Mythic
adeptCanoness,ADAMANTINE_1,6,upgHpM004,Mythic
adeptCanoness,ADAMANTINE_1,7,upgDmgR002,Rare
adeptCanoness,ADAMANTINE_1,10,upgArmU002,Uncommon
adeptCanoness,ADAMANTINE_1,15,upgArmU009,Uncommon
adeptCanoness,ADAMANTINE_1,5,upgHpU002,Uncommon
adeptCelestine,STONE_2,1,upgArmC001,Common
adeptCelestine,STONE_2,1,upgArmC013,Common
adeptCelestine,STONE_2,1,upgDmgC003,Common
adeptCelestine,STONE_2,1,upgDmgC011,Common
adeptCelestine,STONE_2,1,upgHpC005,Common
adeptCelestine,STONE_2,1,upgHpC016,Common
adeptCelestine,STONE_3,1,upgArmC004,Common
adeptCelestine,STONE_3,1,upgDmgC004,Common
adeptCelestine,STONE_3,1,upgHpC003,Common
adeptCelestine,STONE_3,1,upgHpC016,Common
adeptCelestine,STONE_3,1,upgArmU009,Uncommon
adeptCelestine,STONE_3,1,upgDmgU011,Uncommon
adeptCelestine,IRON_1,1,upgArmC013,Common
adeptCelestine,IRON_1,6,upgDmgC009,Common
adeptCelestine,IRON_1,1,upgHpC015,Common
adeptCelestine,IRON_1,1,upgArmU013,Uncommon
adeptCelestine,IRON_1,1,upgDmgU010,Uncommon
adeptCelestine,IRON_1,1,upgHpU002,Uncommon
adeptCelestine,IRON_2,6,upgArmC004,Common
adeptCelestine,IRON_2,2,upgDmgC003,Common
adeptCelestine,IRON_2,4,upgDmgC011,Common
adeptCelestine,IRON_2,1,upgArmU001,Uncommon
adeptCelestine,IRON_2,1,upgDmgU003,Uncommon
adeptCelestine,IRON_2,1,upgHpU016,Uncommon
adeptCelestine,IRON_2,1,upgHpU017,Uncommon
adeptCelestine,IRON_3,4,upgArmC006,Common
adeptCelestine,IRON_3,3,upgDmgC005,Common
adeptCelestine,IRON_3,3,upgDmgC008,Common
adeptCelestine,IRON_3,6,upgDmgC009,Common
adeptCelestine,IRON_3,2,upgHpC015,Common
adeptCelestine,IRON_3,1,upgArmU006,Uncommon
adeptCelestine,IRON_3,5,upgArmU013,Uncommon
adeptCelestine,IRON_3,5,upgDmgU011,Uncommon
adeptCelestine,IRON_3,1,upgHpU002,Uncommon
adeptCelestine,IRON_3,1,upgHpU008,Uncommon
adeptCelestine,BRONZE_1,6,upgArmC002,Common
adeptCelestine,BRONZE_1,2,upgDmgC003,Common
adeptCelestine,BRONZE_1,4,upgDmgC011,Common
adeptCelestine,BRONZE_1,6,upgHpC017,Common
adeptCelestine,BRONZE_1,1,upgDmgR022,Rare
adeptCelestine,BRONZE_1,1,upgHpR002,Rare
adeptCelestine,BRONZE_1,5,upgArmU005,Uncommon
adeptCelestine,BRONZE_1,1,upgArmU006,Uncommon
adeptCelestine,BRONZE_1,5,upgHpU017,Uncommon
adeptCelestine,BRONZE_2,3,upgArmC001,Common
adeptCelestine,BRONZE_2,4,upgArmC012,Common
adeptCelestine,BRONZE_2,4,upgArmC013,Common
adeptCelestine,BRONZE_2,2,upgDmgC007,Common
adeptCelestine,BRONZE_2,2,upgHpC013,Common
adeptCelestine,BRONZE_2,3,upgHpC016,Common
adeptCelestine,BRONZE_2,6,upgHpC017,Common
adeptCelestine,BRONZE_2,1,upgDmgR003,Rare
adeptCelestine,BRONZE_2,1,upgHpR022,Rare
adeptCelestine,BRONZE_2,5,upgArmU001,Uncommon
adeptCelestine,BRONZE_2,5,upgArmU009,Uncommon
adeptCelestine,BRONZE_2,5,upgDmgU010,Uncommon
adeptCelestine,BRONZE_2,5,upgHpU017,Uncommon
adeptCelestine,BRONZE_3,4,upgArmC006,Common
adeptCelestine,BRONZE_3,4,upgArmC012,Common
adeptCelestine,BRONZE_3,12,upgDmgC003,Common
adeptCelestine,BRONZE_3,2,upgDmgC007,Common
adeptCelestine,BRONZE_3,6,upgHpC003,Common
adeptCelestine,BRONZE_3,2,upgHpC015,Common
adeptCelestine,BRONZE_3,7,upgDmgE003,Epic
adeptCelestine,BRONZE_3,1,upgArmR022,Rare
adeptCelestine,BRONZE_3,7,upgDmgR003,Rare
adeptCelestine,BRONZE_3,1,upgHpR002,Rare
adeptCelestine,BRONZE_3,5,upgArmU013,Uncommon
adeptCelestine,BRONZE_3,10,upgDmgU009,Uncommon
adeptCelestine,BRONZE_3,5,upgDmgU010,Uncommon
adeptCelestine,BRONZE_3,5,upgHpU002,Uncommon
adeptCelestine,SILVER_1,3,upgArmC001,Common
adeptCelestine,SILVER_1,4,upgArmC002,Common
adeptCelestine,SILVER_1,2,upgDmgC003,Common
adeptCelestine,SILVER_1,4,upgDmgC011,Common
adeptCelestine,SILVER_1,6,upgHpC003,Common
adeptCelestine,SILVER_1,3,upgHpC016,Common
adeptCelestine,SILVER_1,9,upgArmR022,Rare
adeptCelestine,SILVER_1,9,upgDmgR022,Rare
adeptCelestine,SILVER_1,4,upgHpR002,Rare
adeptCelestine,SILVER_1,1,upgHpR022,Rare
adeptCelestine,SILVER_1,5,upgArmU001,Uncommon
adeptCelestine,SILVER_1,5,upgDmgU003,Uncommon
adeptCelestine,SILVER_1,5,upgHpU002,Uncommon
adeptCelestine,SILVER_2,6,upgArmC001,Common
adeptCelestine,SILVER_2,4,upgArmC006,Common
adeptCelestine,SILVER_2,6,upgHpC015,Common
adeptCelestine,SILVER_2,1,upgDmgE003,Epic
adeptCelestine,SILVER_2,9,upgArmR022,Rare
adeptCelestine,SILVER_2,9,upgDmgR022,Rare
adeptCelestine,SILVER_2,4,upgHpR002,Rare
adeptCelestine,SILVER_2,6,upgHpR005,Rare
adeptCelestine,SILVER_2,9,upgHpR022,Rare
adeptCelestine,SILVER_2,5,upgArmU013,Uncommon
adeptCelestine,SILVER_2,6,upgHpU007,Uncommon
adeptCelestine,SILVER_3,6,upgArmC001,Common
adeptCelestine,SILVER_3,8,upgArmC002,Common
adeptCelestine,SILVER_3,4,upgArmC011,Common
adeptCelestine,SILVER_3,4,upgArmC012,Common
adeptCelestine,SILVER_3,4,upgDmgC003,Common
adeptCelestine,SILVER_3,2,upgDmgC007,Common
adeptCelestine,SILVER_3,8,upgDmgC011,Common
adeptCelestine,SILVER_3,6,upgHpC016,Common
adeptCelestine,SILVER_3,1,upgHpE012,Epic
adeptCelestine,SILVER_3,4,upgArmR006,Rare
adeptCelestine,SILVER_3,18,upgArmR022,Rare
adeptCelestine,SILVER_3,18,upgDmgR022,Rare
adeptCelestine,SILVER_3,8,upgHpR002,Rare
adeptCelestine,SILVER_3,9,upgHpR022,Rare
adeptCelestine,SILVER_3,10,upgArmU001,Uncommon
adeptCelestine,SILVER_3,10,upgDmgU003,Uncommon
adeptCelestine,SILVER_3,5,upgDmgU010,Uncommon
adeptCelestine,GOLD_1,12,upgArmC001,Common
adeptCelestine,GOLD_1,12,upgArmC006,Common
adeptCelestine,GOLD_1,4,upgDmgC003,Common
adeptCelestine,GOLD_1,6,upgDmgC010,Common
adeptCelestine,GOLD_1,8,upgDmgC011,Common
adeptCelestine,GOLD_1,10,upgDmgC013,Common
adeptCelestine,GOLD_1,6,upgHpC015,Common
adeptCelestine,GOLD_1,8,upgHpC016,Common
adeptCelestine,GOLD_1,5,upgArmE009,Epic
adeptCelestine,GOLD_1,9,upgArmR022,Rare
adeptCelestine,GOLD_1,9,upgDmgR022,Rare
adeptCelestine,GOLD_1,12,upgHpR005,Rare
adeptCelestine,GOLD_1,18,upgHpR022,Rare
adeptCelestine,GOLD_1,2,upgArmU001,Uncommon
adeptCelestine,GOLD_1,15,upgArmU013,Uncommon
adeptCelestine,GOLD_1,10,upgDmgU003,Uncommon
adeptCelestine,GOLD_1,10,upgDmgU012,Uncommon
adeptCelestine,GOLD_1,12,upgHpU007,Uncommon
adeptCelestine,GOLD_1,10,upgHpU016,Uncommon
adeptCelestine,GOLD_2,12,upgArmC001,Common
adeptCelestine,GOLD_2,4,upgArmC002,Common
adeptCelestine,GOLD_2,8,upgArmC003,Common
adeptCelestine,GOLD_2,8,upgArmC012,Common
adeptCelestine,GOLD_2,4,upgArmC013,Common
adeptCelestine,GOLD_2,4,upgDmgC003,Common
adeptCelestine,GOLD_2,4,upgDmgC007,Common
adeptCelestine,GOLD_2,8,upgDmgC011,Common
adeptCelestine,GOLD_2,6,upgHpC003,Common
adeptCelestine,GOLD_2,6,upgHpC013,Common
adeptCelestine,GOLD_2,12,upgHpC016,Common
adeptCelestine,GOLD_2,6,upgDmgE003,Epic
adeptCelestine,GOLD_2,7,upgDmgE011,Epic
adeptCelestine,GOLD_2,5,upgHpE003,Epic
adeptCelestine,GOLD_2,5,upgHpE012,Epic
adeptCelestine,GOLD_2,9,upgHpL102,Legendary
adeptCelestine,GOLD_2,18,upgArmR022,Rare
adeptCelestine,GOLD_2,18,upgDmgR022,Rare
adeptCelestine,GOLD_2,4,upgHpR002,Rare
adeptCelestine,GOLD_2,7,upgHpR018,Rare
adeptCelestine,GOLD_2,20,upgArmU001,Uncommon
adeptCelestine,GOLD_2,5,upgArmU009,Uncommon
adeptCelestine,GOLD_2,10,upgDmgU003,Uncommon
adeptCelestine,GOLD_2,10,upgDmgU010,Uncommon
adeptCelestine,GOLD_2,5,upgHpU002,Uncommon
adeptCelestine,GOLD_2,10,upgHpU012,Uncommon
adeptCelestine,GOLD_3,6,upgArmC001,Common
adeptCelestine,GOLD_3,8,upgArmC003,Common
adeptCelestine,GOLD_3,12,upgArmC006,Common
adeptCelestine,GOLD_3,8,upgArmC012,Common
adeptCelestine,GOLD_3,4,upgArmC013,Common
adeptCelestine,GOLD_3,3,upgDmgC005,Common
adeptCelestine,GOLD_3,4,upgDmgC007,Common
adeptCelestine,GOLD_3,3,upgDmgC008,Common
adeptCelestine,GOLD_3,3,upgDmgC010,Common
adeptCelestine,GOLD_3,3,upgDmgC013,Common
adeptCelestine,GOLD_3,6,upgHpC013,Common
adeptCelestine,GOLD_3,6,upgHpC015,Common
adeptCelestine,GOLD_3,5,upgArmE009,Epic
adeptCelestine,GOLD_3,6,upgDmgE001,Epic
adeptCelestine,GOLD_3,7,upgDmgE011,Epic
adeptCelestine,GOLD_3,5,upgHpE012,Epic
adeptCelestine,GOLD_3,18,upgHpL102,Legendary
adeptCelestine,GOLD_3,9,upgDmgR006,Rare
adeptCelestine,GOLD_3,6,upgHpR005,Rare
adeptCelestine,GOLD_3,7,upgHpR018,Rare
adeptCelestine,GOLD_3,18,upgHpR022,Rare
adeptCelestine,GOLD_3,5,upgArmU009,Uncommon
adeptCelestine,GOLD_3,15,upgArmU013,Uncommon
adeptCelestine,GOLD_3,10,upgDmgU010,Uncommon
adeptCelestine,GOLD_3,5,upgDmgU011,Uncommon
adeptCelestine,GOLD_3,5,upgDmgU012,Uncommon
adeptCelestine,GOLD_3,6,upgHpU007,Uncommon
adeptCelestine,GOLD_3,10,upgHpU012,Uncommon
adeptCelestine,DIAMOND_1,15,upgArmC001,Common
adeptCelestine,DIAMOND_1,4,upgDmgC003,Common
adeptCelestine,DIAMOND_1,3,upgDmgC005,Common
adeptCelestine,DIAMOND_1,3,upgDmgC008,Common
adeptCelestine,DIAMOND_1,9,upgDmgC010,Common
adeptCelestine,DIAMOND_1,8,upgDmgC011,Common
adeptCelestine,DIAMOND_1,13,upgDmgC013,Common
adeptCelestine,DIAMOND_1,6,upgHpC003,Common
adeptCelestine,DIAMOND_1,17,upgHpC016,Common
adeptCelestine,DIAMOND_1,6,upgDmgE001,Epic
adeptCelestine,DIAMOND_1,6,upgDmgE003,Epic
adeptCelestine,DIAMOND_1,5,upgHpE003,Epic
adeptCelestine,DIAMOND_1,27,upgHpL102,Legendary
adeptCelestine,DIAMOND_1,9,upgDmgR006,Rare
adeptCelestine,DIAMOND_1,6,upgHpR005,Rare
adeptCelestine,DIAMOND_1,17,upgArmU001,Uncommon
adeptCelestine,DIAMOND_1,10,upgDmgU003,Uncommon
adeptCelestine,DIAMOND_1,5,upgDmgU011,Uncommon
adeptCelestine,DIAMOND_1,15,upgDmgU012,Uncommon
adeptCelestine,DIAMOND_1,5,upgHpU002,Uncommon
adeptCelestine,DIAMOND_1,6,upgHpU007,Uncommon
adeptCelestine,DIAMOND_1,10,upgHpU016,Uncommon
adeptCelestine,DIAMOND_2,6,upgArmC001,Common
adeptCelestine,DIAMOND_2,12,upgArmC002,Common
adeptCelestine,DIAMOND_2,12,upgDmgC003,Common
adeptCelestine,DIAMOND_2,3,upgDmgC005,Common
adeptCelestine,DIAMOND_2,3,upgDmgC008,Common
adeptCelestine,DIAMOND_2,3,upgDmgC010,Common
adeptCelestine,DIAMOND_2,7,upgDmgC013,Common
adeptCelestine,DIAMOND_2,6,upgHpC003,Common
